nickname,음료가 맛있어요,아이와 가기 좋아요,룸이 잘 되어있어요,화장실이 깨끗해요,인테리어가 멋져요,혼밥하기 좋아요,재료가 신선해요,잡내가 적어요,고기 질이 좋아요,태그 총합,주문제작을 잘해줘요,오래 머무르기 좋아요,음식종류,종류가 다양해요,음식이 맛있어요,친절해요,차분한 분위기에요,건강한 맛이에요,샐러드바가 잘 되어있어요,선물하기 좋아요,양이 많아요,대화하기 좋아요,단체모임 하기 좋아요,직접 잘 구워줘요,사진이 잘 나와요,디저트가 맛있어요,집중하기 좋아요,차가 맛있어요,음악이 좋아요,혼술하기 좋아요,반찬이 잘 나와요,반려동물과 가기 좋아요,향신료가 강하지 않아요,매장이 청결해요,커피가 맛있어요,포장이 깔끔해요,코스요리가 알차요,기본 안주가 좋아요,아늑해요,매장이 넓어요,음식이 빨리 나와요,현지 맛에 가까워요,주차하기 편해요,야외공간이 멋져요,컨셉이 독특해요,가성비가 좋아요,빵이 맛있어요,특별한 메뉴가 있어요,메뉴 구성이 알차요,뷰가 좋아요,비싼 만큼 가치있어요,술이 다양해요,특별한 날 가기 좋아요,환기가 잘 돼요,좌석이 편해요
369369z,0,0,0,0,5,0,10,0,2,0,0,0,0,0,42,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,4,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0
A8뜨뚜,2,0,0,0,13,4,2,0,2,0,0,0,0,0,33,15,0,0,0,0,7,2,0,0,0,9,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,7,0,0,0,0,2,0,0
Chiabata,5,0,0,4,15,5,8,0,0,0,0,0,0,0,31,19,2,2,0,0,7,13,4,0,12,1,7,0,5,0,0,0,0,6,4,0,0,0,0,5,2,0,0,0,0,11,0,13,0,4,0,0,2,0,3
DEJAVU,2,2,0,0,4,12,11,0,2,0,0,0,0,0,32,25,2,0,0,0,10,3,1,0,0,1,0,0,0,0,2,0,0,16,9,0,0,0,3,5,5,0,0,0,0,4,0,6,2,0,0,0,0,0,0
FromA,4,0,0,2,1,0,6,0,0,0,0,5,0,0,15,14,2,6,0,0,3,0,0,2,0,7,0,2,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,7,2,1,2,0,0,0,0,0,5
Junns,14,0,0,0,16,3,12,0,6,0,0,0,0,0,32,2,0,2,0,0,21,8,13,0,8,10,2,0,0,0,0,0,0,0,12,0,0,0,7,12,0,0,0,0,0,3,2,19,1,0,2,0,0,0,0
Reenfldos,15,0,0,0,10,0,5,0,0,0,0,0,0,0,25,5,0,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
iamimmm,0,0,2,0,10,4,6,2,3,0,0,0,0,0,46,13,0,0,0,0,0,11,18,0,0,0,0,0,4,6,6,2,0,4,0,0,0,7,8,20,0,0,6,6,0,7,0,12,4,4,0,7,6,0,0
lune93,0,0,0,0,8,0,3,0,8,0,0,0,0,0,38,12,2,0,0,0,10,2,6,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,2,11,2,0,0,0,0,8,0,4,2,0,2,2,0,0,0
ric****,0,2,0,0,10,0,4,2,0,0,0,0,0,6,23,16,3,2,2,0,2,0,0,0,2,10,0,0,0,0,4,0,0,13,11,0,0,0,3,6,5,0,0,2,0,6,4,0,2,2,0,0,0,0,0
u07****,3,0,0,2,10,6,4,0,1,0,0,0,0,0,32,31,3,0,0,0,5,3,1,1,0,2,0,0,0,0,0,0,0,20,3,0,0,0,0,20,2,0,0,0,0,2,0,18,0,0,0,0,0,0,0
whrhwhdoo,2,0,0,0,2,0,11,0,3,0,0,0,0,0,37,0,0,2,0,0,9,0,0,0,3,8,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,5,0,0,3,13,0,8,2,0,0,0,0,0,0
김니00,0,0,0,0,23,0,8,0,6,0,0,0,0,0,35,19,0,3,0,0,2,2,0,0,5,14,0,0,0,0,0,0,0,5,15,0,0,0,0,20,0,2,0,0,0,1,1,2,0,3,0,0,0,0,0
꿀맥주,0,0,0,0,2,0,0,0,2,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0
대동맛지도,1,0,0,0,8,0,2,0,3,0,0,0,0,0,23,12,0,3,0,0,7,1,4,0,0,11,0,1,0,0,2,2,0,3,3,0,0,1,0,6,0,0,0,0,0,6,2,13,16,2,0,0,0,0,0
데세헤,0,0,0,0,14,9,0,0,4,0,0,4,0,0,26,18,5,0,0,0,4,9,4,0,5,5,0,0,5,0,0,0,0,5,0,0,0,4,5,8,0,0,0,0,0,13,0,9,4,0,0,0,5,0,0
도도는뚀,2,2,0,0,13,0,12,0,0,0,0,0,0,0,24,40,4,4,0,0,5,2,0,0,0,8,2,0,0,0,0,0,0,12,18,2,0,0,6,2,0,0,0,0,0,6,0,30,4,0,0,4,0,0,0
돌고래삼촌,2,0,0,0,16,0,17,0,16,0,0,0,0,2,36,0,0,4,0,0,9,0,2,0,2,12,0,0,2,0,1,0,0,0,8,0,2,0,0,2,0,0,0,6,2,18,4,44,23,4,0,0,0,0,0
딸기4282,2,0,0,0,21,5,7,0,2,0,0,0,0,0,26,10,0,0,0,0,2,0,0,2,3,8,0,2,0,2,1,0,0,2,10,0,0,2,0,8,0,0,0,0,0,12,0,21,3,3,1,2,1,0,0
뚝딱64,9,0,0,0,21,6,9,0,7,0,0,0,0,0,35,0,0,0,0,0,24,5,2,0,0,13,0,0,0,0,0,0,0,0,9,0,0,3,0,11,0,2,0,0,0,5,0,44,0,0,0,1,0,0,0
리나4891,0,0,0,0,21,5,5,0,0,0,0,0,0,0,31,30,0,0,0,0,3,10,3,0,6,6,0,0,0,3,0,0,0,20,5,0,0,3,7,8,0,0,0,0,0,11,2,8,2,3,2,0,0,0,0
리뷰꾸르잼,0,0,0,0,19,2,5,2,3,0,0,0,0,0,17,0,2,8,0,0,5,27,2,0,7,12,7,0,0,0,0,0,0,0,17,0,0,0,2,14,0,2,0,4,2,9,4,27,15,5,1,2,0,0,0
